sample-name	group-id	group-desc
#39 N1.04	C	Grupo controle
#40 N3.09	C	Grupo controle
#41 N1.03	C	Grupo controle
#42 N2.02	C	Grupo controle
#43 N2.07	C	Grupo controle
#44 N3.08	C	Grupo controle
#45 N2.08	AC	Grupo acetato de chumbo
#46 N2.11	AC	Grupo acetato de chumbo
#47 N2.12	AC	Grupo acetato de chumbo
#48 N3.03	AC	Grupo acetato de chumbo
#49 N3.07	AC	Grupo acetato de chumbo
#50 N3.11	AC	Grupo acetato de chumbo
