sample-id	sample-name	group-id	group-desc	acido-latico	acido-acetico	acido-propionico	acido-butirico	acido-totais
210421121711	#39 N1.04	C	Grupo controle	0.488443957	9.419568327	1.323073252	3.429185837	14.66027137
210421121712	#40 N3.09	C	Grupo controle	0.466319254	7.205551944	0.84490575	2.435987197	10.95276415
210421121713	#41 N1.03	C	Grupo controle	0.488443957	9.419568327	1.323073252	3.429185837	14.66027137
210421121714	#42 N2.02	C	Grupo controle	0.516785518	10.97151216	1.224687823	2.871874375	15.58485987
210421121715	#43 N2.07	C	Grupo controle	0.734192723	7.969561826	0.98210451	2.442288458	12.12814752
210421121716	#44 N3.08	C	Grupo controle	0.453093192	7.307749317	0.798775153	2.136127225	10.69574489
210421121717	#45 N2.08	AC	Grupo acetato de chumbo	0.6097946	7.69482512	0.892547523	2.127225445	11.32439269
210421121718	#46 N2.11	AC	Grupo acetato de chumbo	0.696586823	3.848511247	0.981945439	1.105821164	6.632864672
210421121719	#47 N2.12	AC	Grupo acetato de chumbo	0.517821662	7.056026525	1.188817307	1.774554911	10.5372204
210421121720	#48 N3.03	AC	Grupo acetato de chumbo	0.740226733	7.096593421	0.912749543	1.871474295	10.62104399
210421121721	#49 N3.07	AC	Grupo acetato de chumbo	1.271585299	7.086711741	0.946949813	1.558611722	10.86385858
210421121722	#50 N3.11	AC	Grupo acetato de chumbo	2.953428415	1.065908204	0.452954744	0.224744949	4.697036312
